Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY28,183677549.05799997,2.1,2.25
Baseline,expenditure,FY28,184576825.79999995,2.1,2.5
Baseline,expenditure,FY28,185478298.57800004,2.1,2.75
Baseline,expenditure,FY28,186381967.39200002,2.1,3
Baseline,expenditure,FY28,187287832.24199998,2.1,3.25
Baseline,expenditure,FY28,188195893.12799996,2.1,3.5
Baseline,expenditure,FY28,189106150.05000004,2.1,3.75
Baseline,expenditure,FY28,190018603.00800002,2.1,4
Baseline,expenditure,FY28,190933252.002,2.1,4.25
Baseline,expenditure,FY28,191850097.03199998,2.1,4.5
Baseline,expenditure,FY28,192769138.09800002,2.1,4.75
Baseline,expenditure,FY28,193690375.20000002,2.1,5
Baseline,expenditure,FY28,194613808.338,2.1,5.25
Baseline,expenditure,FY28,182780468.352,2.2,2
Baseline,expenditure,FY28,183677549.05799997,2.2,2.25
Baseline,expenditure,FY28,184576825.79999995,2.2,2.5
Baseline,expenditure,FY28,185478298.57800004,2.2,2.75
Baseline,expenditure,FY28,186381967.39200002,2.2,3
Baseline,expenditure,FY28,187287832.24199998,2.2,3.25
Baseline,expenditure,FY28,188195893.12799996,2.2,3.5
Baseline,expenditure,FY28,189106150.05000004,2.2,3.75
Baseline,expenditure,FY28,190018603.00800002,2.2,4
Baseline,expenditure,FY28,190933252.002,2.2,4.25
Baseline,expenditure,FY28,191850097.03199998,2.2,4.5
Baseline,expenditure,FY28,192769138.09800002,2.2,4.75
Baseline,expenditure,FY28,193690375.20000002,2.2,5
Baseline,expenditure,FY28,194613808.338,2.2,5.25
Baseline,expenditure,FY28,182780468.352,2.3,2
Baseline,expenditure,FY28,183677549.05799997,2.3,2.25
Baseline,expenditure,FY28,184576825.79999995,2.3,2.5
Baseline,expenditure,FY28,185478298.57800004,2.3,2.75
Baseline,expenditure,FY28,186381967.39200002,2.3,3
Baseline,expenditure,FY28,187287832.24199998,2.3,3.25
Baseline,expenditure,FY28,188195893.12799996,2.3,3.5
Baseline,expenditure,FY28,189106150.05000004,2.3,3.75
Baseline,expenditure,FY28,190018603.00800002,2.3,4
Baseline,expenditure,FY28,190933252.002,2.3,4.25
Baseline,expenditure,FY28,191850097.03199998,2.3,4.5
Baseline,expenditure,FY28,192769138.09800002,2.3,4.75
Baseline,expenditure,FY28,193690375.20000002,2.3,5
Baseline,expenditure,FY28,194613808.338,2.3,5.25
Baseline,expenditure,FY28,182780468.352,2.4,2
Baseline,expenditure,FY28,183677549.05799997,2.4,2.25
Baseline,expenditure,FY28,184576825.79999995,2.4,2.5
Baseline,expenditure,FY28,185478298.57800004,2.4,2.75
Baseline,expenditure,FY28,186381967.39200002,2.4,3
Baseline,expenditure,FY28,187287832.24199998,2.4,3.25
Baseline,expenditure,FY28,188195893.12799996,2.4,3.5
Baseline,expenditure,FY28,189106150.05000004,2.4,3.75
Baseline,expenditure,FY28,190018603.00800002,2.4,4
Baseline,expenditure,FY28,190933252.002,2.4,4.25
Baseline,expenditure,FY28,191850097.03199998,2.4,4.5
Baseline,expenditure,FY28,192769138.09800002,2.4,4.75
Baseline,expenditure,FY28,193690375.20000002,2.4,5
Baseline,expenditure,FY28,194613808.338,2.4,5.25
Baseline,expenditure,FY28,182780468.352,2.5,2
Baseline,expenditure,FY28,183677549.05799997,2.5,2.25
Baseline,expenditure,FY28,184576825.79999995,2.5,2.5
Baseline,expenditure,FY28,185478298.57800004,2.5,2.75
Baseline,expenditure,FY28,186381967.39200002,2.5,3
Baseline,expenditure,FY28,187287832.24199998,2.5,3.25
Baseline,expenditure,FY28,188195893.12799996,2.5,3.5
Baseline,expenditure,FY28,189106150.05000004,2.5,3.75
Baseline,expenditure,FY28,190018603.00800002,2.5,4
Baseline,expenditure,FY28,190933252.002,2.5,4.25
Baseline,expenditure,FY28,191850097.03199998,2.5,4.5
Baseline,expenditure,FY28,192769138.09800002,2.5,4.75
Baseline,expenditure,FY28,193690375.20000002,2.5,5
Baseline,expenditure,FY28,194613808.338,2.5,5.25
Baseline,expenditure,FY28,182780468.352,2.6,2
Baseline,expenditure,FY28,183677549.05799997,2.6,2.25
Baseline,expenditure,FY28,184576825.79999995,2.6,2.5
Baseline,expenditure,FY28,185478298.57800004,2.6,2.75
Baseline,expenditure,FY28,186381967.39200002,2.6,3
Baseline,expenditure,FY28,187287832.24199998,2.6,3.25
Baseline,expenditure,FY28,188195893.12799996,2.6,3.5
Baseline,expenditure,FY28,189106150.05000004,2.6,3.75
Baseline,expenditure,FY28,190018603.00800002,2.6,4
Baseline,expenditure,FY28,190933252.002,2.6,4.25
Baseline,expenditure,FY28,191850097.03199998,2.6,4.5
Baseline,expenditure,FY28,192769138.09800002,2.6,4.75
Baseline,expenditure,FY28,193690375.20000002,2.6,5
Baseline,expenditure,FY28,194613808.338,2.6,5.25
Baseline,expenditure,FY28,182780468.352,2.7,2
Baseline,expenditure,FY28,183677549.05799997,2.7,2.25
Baseline,expenditure,FY28,184576825.79999995,2.7,2.5
Baseline,expenditure,FY28,185478298.57800004,2.7,2.75
Baseline,expenditure,FY28,186381967.39200002,2.7,3
Baseline,expenditure,FY28,187287832.24199998,2.7,3.25
Baseline,expenditure,FY28,188195893.12799996,2.7,3.5
Baseline,expenditure,FY28,189106150.05000004,2.7,3.75
Baseline,expenditure,FY28,190018603.00800002,2.7,4
Baseline,expenditure,FY28,190933252.002,2.7,4.25
Baseline,expenditure,FY28,191850097.03199998,2.7,4.5
Baseline,expenditure,FY28,192769138.09800002,2.7,4.75
Baseline,expenditure,FY28,193690375.20000002,2.7,5
Baseline,expenditure,FY28,194613808.338,2.7,5.25
Baseline,expenditure,FY28,182780468.352,2.8,2
Baseline,expenditure,FY28,183677549.05799997,2.8,2.25
Baseline,expenditure,FY28,184576825.79999995,2.8,2.5
Baseline,expenditure,FY28,185478298.57800004,2.8,2.75
Baseline,expenditure,FY28,186381967.39200002,2.8,3
Baseline,expenditure,FY28,187287832.24199998,2.8,3.25
Baseline,expenditure,FY28,188195893.12799996,2.8,3.5
Baseline,expenditure,FY28,189106150.05000004,2.8,3.75
Baseline,expenditure,FY28,190018603.00800002,2.8,4
Baseline,expenditure,FY28,190933252.002,2.8,4.25
Baseline,expenditure,FY28,191850097.03199998,2.8,4.5
Baseline,expenditure,FY28,192769138.09800002,2.8,4.75
Baseline,expenditure,FY28,193690375.20000002,2.8,5
Baseline,expenditure,FY28,194613808.338,2.8,5.25
Baseline,expenditure,FY28,182780468.352,2.9,2
Baseline,expenditure,FY28,183677549.05799997,2.9,2.25
Baseline,expenditure,FY28,184576825.79999995,2.9,2.5
Baseline,expenditure,FY28,185478298.57800004,2.9,2.75
Baseline,expenditure,FY28,186381967.39200002,2.9,3
Baseline,expenditure,FY28,187287832.24199998,2.9,3.25
Baseline,expenditure,FY28,188195893.12799996,2.9,3.5
Baseline,expenditure,FY28,189106150.05000004,2.9,3.75
Baseline,expenditure,FY28,190018603.00800002,2.9,4
Baseline,expenditure,FY28,190933252.002,2.9,4.25
